date,close,open,high,low,volume,symbol
2019-10-28,828.95,828.95,828.95,828.95,15,ATRI
2019-10-28,29.41,29.41,29.41,29.41,100,ATRO
2019-10-28,3.595,3.595,3.595,3.595,3,ATRS
2019-10-28,21.485,21.485,21.485,21.485,100,ATSG
2019-10-28,54.475,54.475,54.475,54.475,100,ATVI
2019-10-28,5.58,5.58,5.58,5.58,100,ATXI
2019-10-28,37.995,37.995,37.995,37.995,5,AUB
2019-10-28,42.6,42.6,42.6,42.6,45,AUBN
2019-10-28,19.18,19.18,19.18,19.18,12,AUDC
2019-10-28,4.73,4.73,4.73,4.73,100,AUPH
2019-10-28,12.6,12.6,12.6,12.6,10,AUTL
2019-10-28,2.59,2.59,2.59,2.59,20,AUTO
2019-10-28,59.88,59.88,59.88,59.88,15,AVAV
2019-10-28,1.59,1.59,1.59,1.59,100,AVCO
2019-10-28,4.33,4.33,4.33,4.33,100,AVDL
2019-10-28,23.93,23.93,23.93,23.93,2,AVDR
2019-10-28,0.9235,0.9235,0.9235,0.9235,100,AVEO
2019-10-28,291.42,291.42,291.42,291.42,10,AVGO
2019-10-28,1.39,1.39,1.39,1.39,780,AVGR
2019-10-28,6.87,6.87,6.87,6.87,100,AVID
2019-10-28,13.67,13.67,13.67,13.67,1,AVNW
2019-10-28,14.6,14.6,14.6,14.6,200,AVRO
2019-10-28,39.815,39.815,39.815,39.815,100,AVT
2019-10-28,2.8,2.8,2.8,2.8,100,AVXL
2019-10-28,2.8399,2.8399,2.8399,2.8399,2,AWRE
2019-10-28,0.333,0.333,0.333,0.333,250,AWSM
2019-10-28,0.3311,0.3311,0.3311,0.3311,100,AXAS
2019-10-28,16.575,16.575,16.575,16.575,100,AXDX
2019-10-28,12.225,12.225,12.225,12.225,10,AXGN
2019-10-28,6.46,6.46,6.46,6.46,100,AXGT
2019-10-28,4.9501,4.9501,4.9501,4.9501,49,AXLA
2019-10-28,22.06,22.06,22.06,22.06,100,AXNX
2019-10-28,22.91,22.91,22.91,22.91,100,AXSM
2019-10-28,3.04,3.04,3.04,3.04,800,AXTI
2019-10-28,23.21,23.21,23.21,23.21,100,AY
2019-10-28,1.06,1.06,1.06,1.06,85,AYTU
2019-10-28,116.19,116.19,116.19,116.19,100,AZPN
2019-10-28,0.6776,0.6776,0.6776,0.6776,1,AZRX
2019-10-28,57.33,57.33,57.33,57.33,100,BAND
2019-10-28,58.54,58.54,58.54,58.54,95,BANF
2019-10-18,27.7,27.7,27.7,27.7,150,BANFP
2019-10-28,56.47,56.47,56.47,56.47,40,BANR
2019-10-28,22.55,22.55,22.55,22.55,200,BANX
2019-10-28,4.76,4.76,4.76,4.76,1,BASI
2019-10-28,29.14,29.14,29.14,29.14,44,BATRA
2019-10-28,29.0319,29.0319,29.0319,29.0319,100,BATRK
2019-10-28,14.79,14.79,14.79,14.79,100,BBBY
2019-10-28,3.29,3.29,3.29,3.29,42,BBCP
2019-10-28,2.9,2.9,2.9,2.9,100,BBGI
2019-10-28,125.9,125.9,125.9,125.9,7,BBH
2019-10-28,2.59,2.59,2.59,2.59,100,BBI
2019-10-28,19.57,19.57,19.57,19.57,10,BBIO
2019-10-28,87.93,87.93,87.93,87.93,20,BBSI
2019-10-28,12.98,12.98,12.98,12.98,100,BCBP
2019-10-28,4.29,4.29,4.29,4.29,64,BCDA
2019-10-28,1.47,1.47,1.47,1.47,52,BCDAW
2019-10-28,10.12,10.12,10.12,10.12,8,BCEL
2019-10-28,3.72,3.72,3.72,3.72,85,BCLI
2019-10-28,21.42,21.42,21.42,21.42,100,BCML
2019-10-22,20.83,20.83,20.83,20.83,300,BCNA
2019-10-28,1.1943,1.1943,1.1943,1.1943,1000,BCOM
2019-10-28,22.06,22.06,22.06,22.06,5,BCOR
2019-10-28,8.985,8.985,8.985,8.985,100,BCOV
2019-10-28,9.72,9.72,9.72,9.72,62,BCOW
2019-10-28,101.63,101.63,101.63,101.63,1,BCPC
2019-10-28,2.45,2.45,2.45,2.45,400,BCRX
2019-10-28,14.95,14.95,14.95,14.95,74,BCTF
2019-10-28,9.3101,9.3101,9.3101,9.3101,247,BCYC
2019-10-28,32.42,32.42,32.42,32.42,1,BDGE
2019-10-28,6.04,6.04,6.04,6.04,100,BDSI
2019-10-28,41.11,41.11,41.11,41.11,1,BEAT
2019-10-28,31.62,31.62,31.62,31.62,98,BECN
2019-10-28,12.84,12.84,12.84,12.84,13,BELFA
2019-10-28,14.92,14.92,14.92,14.92,3,BELFB
2019-10-28,69.75,69.75,69.75,69.75,6,BFC
2019-10-28,12.6,12.6,12.6,12.6,1,BFIN
2019-10-28,20.3418,20.3418,20.3418,20.3418,1,BFIT
2019-10-28,11.1,11.1,11.1,11.1,10,BFRA
2019-10-28,24.5,24.5,24.5,24.5,100,BFST
2019-10-28,5.35,5.35,5.35,5.35,687,BGCP
2019-10-28,2.585,2.585,2.585,2.585,100,BGFV
2019-10-28,140.9897,140.9897,140.9897,140.9897,100,BGNE
2019-10-28,54.8699,54.8699,54.8699,54.8699,7,BGRN
2019-10-28,2.9,2.9,2.9,2.9,5,BHAT
2019-10-28,39.075,39.075,39.075,39.075,100,BHF
2019-10-28,26.95,26.95,26.95,26.95,26,BHFAL
2019-10-28,27.95,27.95,27.95,27.95,20,BHFAP
2019-10-28,1.7,1.7,1.7,1.7,41,BHTG
2019-10-28,48.8896,48.8896,48.8896,48.8896,58,BIB
2019-10-28,26.9098,26.9098,26.9098,26.9098,112,BICK
2019-10-28,104.9601,104.9601,104.9601,104.9601,43,BIDU
2019-10-28,294.9034,294.9034,294.9034,294.9034,29,BIIB
2019-10-28,15.74,15.74,15.74,15.74,43,BILI
2019-10-28,4.33,4.33,4.33,4.33,30,BIMI
2019-10-28,0.7599,0.7599,0.7599,0.7599,50,BIOC
2019-10-28,0.59245,0.59245,0.59245,0.59245,100,BIOL
2019-10-28,3.58,3.58,3.58,3.58,100,BIOS
2019-10-28,17.25,17.25,17.25,17.25,100,BIS
2019-10-28,41.04,41.04,41.04,41.04,1,BJRI
2019-10-28,4.7,4.7,4.7,4.7,100,BKCC
2019-10-28,1.195,1.195,1.195,1.195,10,BKEP
2019-10-28,5.5,5.5,5.5,5.5,55,BKEPP
2019-10-28,2056.055,2056.055,2056.055,2056.055,4,BKNG
2019-10-28,18.65,18.65,18.65,18.65,2,BKSC
2019-10-28,0.628,0.628,0.628,0.628,6,BKYI
2019-10-28,47.71,47.71,47.71,47.71,100,BL
2019-10-28,19.72,19.72,19.72,19.72,3,BLBD
2019-10-28,0.88,0.88,0.88,0.88,100,BLCM
2019-10-28,24.09,24.09,24.09,24.09,200,BLCN
2019-10-28,5.95,5.95,5.95,5.95,100,BLDP
2019-10-28,22.815,22.815,22.815,22.815,100,BLDR
2019-10-28,17.48,17.48,17.48,17.48,100,BLFS
2019-10-28,1.54,1.54,1.54,1.54,1,BLIN
2019-10-28,86.2873,86.2873,86.2873,86.2873,48,BLKB
2019-10-28,19.635,19.635,19.635,19.635,100,BLMN
2019-10-28,2.234,2.234,2.234,2.234,3,BLNK
2019-10-28,0.345,0.345,0.345,0.345,100,BLNKW
2019-10-28,0.4096,0.4096,0.4096,0.4096,400,BLPH
2019-10-28,2.635,2.635,2.635,2.635,5,BLRX
2019-10-28,6.755,6.755,6.755,6.755,100,BLU
2019-10-28,85.68,85.68,85.68,85.68,100,BLUE
2019-10-28,27.5,27.5,27.5,27.5,1,BMCH
2019-10-28,45.4467,45.4467,45.4467,45.4467,22,BMLP
2019-10-28,3.11,3.11,3.11,3.11,100,BMRA
2019-10-28,43.89,43.89,43.89,43.89,41,BMRC
2019-10-28,72.13,72.13,72.13,72.13,100,BMRN
2019-10-28,37.72,37.72,37.72,37.72,100,BMTC
2019-10-28,83.825,83.825,83.825,83.825,15,BND
2019-10-28,79.6704,79.6704,79.6704,79.6704,50,BNDW
2019-10-28,58.13,58.13,58.13,58.13,6,BNDX
2019-10-28,23.26,23.26,23.26,23.26,1,BNFT
2019-10-28,0.8101,0.8101,0.8101,0.8101,256,BNGO
2019-10-28,0.14,0.14,0.14,0.14,600,BNGOW
2019-10-28,2.43,2.43,2.43,2.43,1,BNSO
2019-10-28,0.635,0.635,0.635,0.635,100,BNTC
2019-10-21,0.0449,0.0449,0.0449,0.0449,493,BNTCW
2019-10-28,11.02,11.02,11.02,11.02,1,BOCH
2019-10-28,78.5009,78.5009,78.5009,78.5009,18,BOKF
2019-10-28,25.74,25.74,25.74,25.74,3,BOKFL
2019-10-28,27.69,27.69,27.69,27.69,13,BOLD
2019-10-28,19.89,19.89,19.89,19.89,20,BOMN
2019-10-28,45.94,45.94,45.94,45.94,100,BOOM
2019-10-28,2.23,2.23,2.23,2.23,85,BOSC
2019-10-28,14.865,14.865,14.865,14.865,4,BOTJ
2019-10-28,21.0057,21.0057,21.0057,21.0057,200,BOTZ
2019-10-28,1.81,1.81,1.81,1.81,1,BOXL
2019-10-28,11.375,11.375,11.375,11.375,100,BPFH
2019-10-28,67.2,67.2,67.2,67.2,20,BPMC
2019-10-28,55.46,55.46,55.46,55.46,95,BPOP
2019-10-28,25.8,25.8,25.8,25.8,20,BPOPM
2019-10-28,26.53,26.53,26.53,26.53,20,BPOPN
2019-10-28,19.255,19.255,19.255,19.255,100,BPR
2019-10-28,25.54,25.54,25.54,25.54,13,BPRAP
2019-10-28,28.3,28.3,28.3,28.3,100,BPRN
2019-10-28,11.995,11.995,11.995,11.995,1500,BPTH
2019-10-28,19.285,19.285,19.285,19.285,100,BPY
2019-10-28,27.07,27.07,27.07,27.07,13,BPYPO
2019-10-28,26.52,26.52,26.52,26.52,94,BPYPP
2019-10-28,7.72,7.72,7.72,7.72,10,BREW
2019-10-28,25.79,25.79,25.79,25.79,19,BRID
2019-10-28,15.79,15.79,15.79,15.79,2,BRKL
2019-10-28,44.3,44.3,44.3,44.3,83,BRKR
2019-10-28,43.975,43.975,43.975,43.975,100,BRKS
2019-10-28,10.2798,10.2798,10.2798,10.2798,4,BROG
2019-10-28,0.5498,0.5498,0.5498,0.5498,2,BROGR
2019-10-28,11.2,11.2,11.2,11.2,1000,BROGU
2019-10-28,0.551136,0.551136,0.551136,0.551136,200,BROGW
2019-10-25,10.51,10.51,10.51,10.51,600,BRPA
2019-10-25,0.27,0.27,0.27,0.27,1,BRPAR
